CUST,PRNCPL,SLSMN
S11944,F03,R24
S03922,F03,R40
S10991,F03,R40
S10993,F03,R40
S11677,F03,R29
S12046,F03,R36
S00658,F03,Z14
S10878,F03,R29
S11762,F03,R23
S05790,F03,R40
S02339,F03,R29
S12028,F03,R24
S10795,F03,R40
S10702,F03,R40
S11850,F03,R23
S11220,F03,R24
S11688,F03,R40
S11967,F03,R40
S11768,F03,R24
S11657,F03,R29
S01319,F03,R24
S11024,F03,R40
S11584,F03,R40
S12003,F03,R40
S12004,F03,R40
S12001,F03,R40
S12002,F03,R40
S12108,F03,R36
S07371,F03,R29
S10931,F03,R40
S12081,F03,R36
S11790,F03,R40
S05270,F03,R40
S11526,F03,R23
S03616,F03,R24
S11464,F03,R36
S01446,F03,R36
S10940,F03,R24
S10608,F03,R36
S11018,F03,R24
S06308,F03,R29
S11671,F03,R40
S10675,F03,R24
S11468,F03,R29
S08708,F03,Z14
S01901,F03,R40
S10866,F03,R36
S10942,F03,R24
S00445,F03,Z14
S03623,F03,R40
S05233,F03,Z14
S05294,F03,Z14
S09282,F03,R24
S09589,F03,R36
S11399,F03,R23
S07321,F03,R36
S05556,F03,R24
S01657,F03,R36
S09587,F03,R36
S10976,F03,R36
S10978,F03,R36
S11833,F03,R36
S05849,F03,R40
S07261,F03,R36
S10733,F03,R40
S11287,F03,R40
S11457,F03,R24
S11463,F03,R36
S11625,F03,Z14
S11626,F03,Z14
S11669,F03,R24
S11726,F03,R23
S11849,F03,R29
S11861,F03,R29
S11865,F03,R29
S11882,F03,R40
S12030,F03,Z14
S12032,F03,Z14
S12034,F03,Z14
S12035,F03,Z14
S12095,F03,R29
S12097,F03,Z14
S12099,F03,Z14
S12106,F03,Z14
S12113,F03,R24
S12114,F03,R24
S12115,F03,R24
S12121,F03,R24
S12122,F03,R24
S12123,F03,R24
S12085,F03,R36
S08779,F03,R40
S10899,F03,R24
S11996,F03,R40
S05796,F03,R24
S11646,F03,R24
S10500,F03,R23
S12042,F03,R23
S03094,F03,R29
S11369,F03,R24
S11786,F03,R24
S11580,F03,R40
S11674,F03,Z14
S11675,F03,Z14
S11682,F03,R24
S11693,F03,R24
S00907,F03,R29
S03542,F03,R36
S05105,F03,R40
S07225,F03,R40
S05006,F03,R23
S04933,F03,R40
S07750,F03,R36
S11334,F03,R40
S10314,F03,R23
S04020,F03,R23
S10424,F03,R23
S03839,F03,Z14
S08739,F03,R23
S11401,F03,R23
S06190,F03,R23
S04480,F03,R29
S02001,F03,R36
S09521,F03,Z14
S11103,F03,R29
S10003,F03,R23
S09809,F03,R29
S08769,F03,R29
S11352,F03,R29
S11161,F03,Z14
S10804,F03,R24
S10827,F03,R24
S01635,F03,R24
S11347,F03,R36
S09893,F03,R23
S10645,F03,R23
S10280,F03,R29
S09630,F03,R36
S08483,F03,R23
S06880,F03,R24
S11129,F03,R29
S07648,F03,R29
S05052,F03,Z14
S09203,F03,R23
S07489,F03,R29
S11394,F03,Z14
S00789,F03,Z14
S10422,F03,R29
S06980,F03,Z14
S08981,F03,R23
S08582,F03,R29
S08477,F03,R23
S10531,F03,R29
S04596,F03,R29
S10787,F03,R24
S09702,F03,R23
S06895,F03,R29
S04440,F03,Z14
S04512,F03,R23
S01538,F03,R24
S06762,F03,R23
S08348,F03,R23
S06920,F03,R29
S09343,F03,R23
S07966,F03,R23
S09162,F03,Z14
S08944,F03,R29
S04945,F03,R23
S05810,F03,R23
S03856,F03,R29
S05178,F03,R29
S08807,F03,R23
S09261,F03,Z14
S10157,F03,R29
S01516,F03,R23
S02009,F03,R24
S10911,F03,R36
S09887,F03,R23
S02515,F03,R23
S11320,F03,R40
S02005,F03,R36
S07428,F03,R29
S08951,F03,R24
S10601,F03,Z14
S09889,F03,R23
S04443,F03,R29
S03344,F03,R23
S01715,F03,R40
S08478,F03,R23
S10284,F03,R23
S09770,F03,R23
S11928,F03,R29
S08856,F03,R36
S08881,F03,R40
S05969,F03,R23
S10600,F03,Z14
S02341,F03,R36
S08898,F03,R36
S09139,F03,R29
S09940,F03,Z14
S10821,F03,Z14
S01526,F03,R40
S09479,F03,R23
S10289,F03,R29
S11462,F03,R23
S06601,F03,R36
S09038,F03,R23
S08515,F03,R23
S02023,F03,R23
S08823,F03,R29
S11905,F03,R40
S03654,F03,R40
S11395,F03,R23
S11410,F03,R29
S11113,F03,R23
S01673,F03,R29
S11112,F03,R36
S10106,F03,R29
S11724,F03,R29
S08699,F03,R23
S01620,F03,R23
S07562,F03,R29
S05312,F03,R40
S06796,F03,R23
S04430,F03,R23
S04496,F03,R40
S00617,F03,Z14
S10777,F03,R23
S01986,F03,R24
S03086,F03,R36
S01710,F03,Z14
S08481,F03,R23
S06613,F03,R23
S11433,F03,R23
S02772,F03,R23
S10825,F03,R23
S09885,F03,R40
S11064,F03,Z14
S11344,F03,R24
S10163,F03,R23
S11043,F03,R29
S08507,F03,Z14
S09925,F03,R40
S11544,F03,R23
S08975,F03,R24
S03971,F03,R36
S04946,F03,R40
S10165,F03,R23
S03907,F03,R36
S09929,F03,R29
S10604,F03,R29
S01995,F03,Z14
S08679,F03,R29
S11069,F03,R24
S09990,F03,R23
S10823,F03,R24
S11656,F03,R40
S02017,F03,R40
S07743,F03,R29
S02361,F03,R36
S09611,F03,R23
S06757,F03,R36
S03656,F03,R40
S03876,F03,R40
S02113,F03,R29
S12013,F03,R29
S09907,F03,R23
S09694,F03,R24
S10090,F03,R23
S03179,F03,R23
S09027,F03,Z14
S10559,F03,R23
S11419,F03,R24
S10192,F03,Z14
S10493,F03,R29
S10184,F03,Z14
S10841,F03,R24
S07483,F03,Z14
S09091,F03,R23
S10822,F03,R24
S06760,F03,R23
S05261,F03,R29
S09039,F03,R29
S10913,F03,R24
S11424,F03,R29
S03995,F03,R23
S01643,F03,R23
S11105,F03,R36
S11077,F03,Z14
S01517,F03,R29
S11741,F03,R29
S11655,F03,R40
S08511,F03,R23
S11222,F03,Z14
S02122,F03,R29
S11612,F03,R36
S09043,F03,R23
S11902,F03,R24
S10119,F03,R23
S10820,F03,Z14
S08583,F03,R23
S07143,F03,R23
S02083,F03,R24
S04739,F03,R24
S09160,F03,R23
S11223,F03,R29
S09188,F03,R23
S11279,F03,R23
S11608,F03,R29
S11225,F03,Z14
S11307,F03,Z14
S08033,F03,R24
S11254,F03,R29
S08517,F03,R29
S10462,F03,R40
S09912,F03,R23
S11431,F03,R24
S08666,F03,R23
S07036,F03,Z14
S08992,F03,Z14
S10439,F03,R23
S10207,F03,Z14
S10590,F03,R23
S08027,F03,Z14
S02014,F03,R23
S11758,F03,R24
S01965,F03,R29
S10150,F03,R23
S11445,F03,R29
S09971,F03,Z14
S08902,F03,R29
S10744,F03,R23
S10179,F03,R23
S11793,F03,R24
S08719,F03,R29
S11133,F03,R23
S10524,F03,Z14
S11877,F03,R24
S11226,F03,R29
S09931,F03,Z14
S07253,F03,R40
S03653,F03,R36
S11264,F03,R23
S11802,F03,Z14
S08516,F03,R29
S11276,F03,Z14
S02087,F03,R29
S09148,F03,Z14
S10912,F03,Z14
S08814,F03,R23
S10443,F03,Z14
S11527,F03,Z14
S08646,F03,R23
S10810,F03,R29
S11178,F03,Z14
S11452,F03,R23
S11339,F03,R36
S02007,F03,R23
S11961,F03,R23
S08044,F03,Z14
S10849,F03,Z14
S09626,F03,R24
S11313,F03,R23
S11962,F03,Z14
S11114,F03,R40
S10499,F03,Z14
S10166,F03,R23
S09302,F03,R23
S02008,F03,Z14
S11799,F03,R23
S09471,F03,R29
S11932,F03,R24
S08561,F03,R23
S11701,F03,R23
S03655,F03,R23
S10781,F03,R36
S07791,F03,R40
S10164,F03,R29
S11070,F03,R23
S09183,F03,R29
S09860,F03,Z14
S10670,F03,R29
S07920,F03,Z14
S05034,F03,R40
S09661,F03,R23
S10349,F03,R24
S11602,F03,R23
S11603,F03,R23
S11624,F03,Z14
S11687,F03,R36
S11702,F03,Z14
S11709,F03,R40
S11710,F03,R40
S11712,F03,R40
S11714,F03,R40
S11716,F03,Z14
S11718,F03,Z14
S11722,F03,R29
S11731,F03,R40
S11732,F03,R40
S11733,F03,R40
S11734,F03,R40
S11735,F03,Z14
S11736,F03,R23
S11737,F03,Z14
S11738,F03,Z14
S11739,F03,Z14
S11740,F03,Z14
S11757,F03,R40
S11784,F03,Z14
S12065,F03,Z14
S12074,F03,Z14
S12059,F03,R23
S11789,F03,R23
S12051,F03,Z14
S12120,F03,Z14
S12196,F03,R24
S12040,F03,R29
S12111,F03,R29
S12197,F03,R29
S12090,F03,R36
S12116,F03,R36
S12117,F03,R36
S12143,F03,R36
S01553,F03,R40
S11720,F03,R40
S11797,F03,R40
S12109,F03,R40
S12127,F03,R40
S12129,F03,R40
S12062,F03,Z14
S12047,F03,R23
S12107,F03,Z14
S12094,F03,R23
S12110,F03,Z14
S12131,F03,Z14
S12158,F03,Z14
S11730,F03,Z14
S11759,F03,R24
S11708,F03,R23
S11706,F03,R23
S11705,F03,R23
S11704,F03,R23
S11707,F03,R23
S11719,F03,R23
S11717,F03,Z14
S11697,F03,Z14
S11721,F03,R23
S11754,F03,Z14
S11715,F03,Z14
S11723,F03,Z14
S11703,F03,Z14
S11725,F03,Z14
S11713,F03,R40
S11711,F03,R40
S12092,F03,R24
S12142,F03,Z14
S12159,F03,Z14
S12255,F03,R36
S12238,F03,R36
S12239,F03,R36
S12236,F03,R23
S12163,F03,R24
S12495,F03,R23
S12496,F03,Z14
S12293,F03,Z14
S12500,F03,R36
S12501,F03,R36
S12536,F03,R36
S12537,F03,R36
S12538,F03,R36
S12539,F03,R36
S12540,F03,R36
S12541,F03,R36
N07539,F03,R97
N07445,F03,R97
N07410,F03,R97
N07034,F03,R97
N06930,F03,R97
N06929,F03,R97
N06928,F03,R97
N06927,F03,R97
N06798,F03,R97
N06796,F03,R97
N06793,F03,R97
N06791,F03,R97
N06787,F03,R97
N06786,F03,R97
N06783,F03,R97
N06781,F03,R97
N06691,F03,R97
N06523,F03,R97
N06508,F03,R97
N06503,F03,R97
N06495,F03,R97
N06234,F03,R97
N05861,F03,R97
N04578,F03,R97
N04010,F03,R97
N02546,F03,R97
N02373,F03,R97
N01211,F03,R97
N00493,F03,R97
N00361,F03,R97
N07546,F03,R97
N07538,F03,R97
N07537,F03,R97
N07513,F03,R97
N07486,F03,R97
N07448,F03,R97
N07447,F03,R97
N07388,F03,R97
N07386,F03,R97
N07344,F03,R97
N07241,F03,R97
N07214,F03,R97
N07168,F03,R97
N07149,F03,R97
N07107,F03,R97
N07101,F03,R97
N07100,F03,R97
N07080,F03,R97
N07074,F03,R97
N07065,F03,R97
N07062,F03,R97
N07042,F03,R97
N07035,F03,R97
N07033,F03,R97
N07026,F03,R97
N07021,F03,R97
N06978,F03,R97
N06977,F03,R97
N06976,F03,R97
N06970,F03,R97
N06940,F03,R97
N06939,F03,R97
N06884,F03,R97
N06873,F03,R97
N06865,F03,R97
N06860,F03,R97
N06843,F03,R97
N06823,F03,R97
N06822,F03,R97
N06775,F03,R97
N06773,F03,R97
N06771,F03,R97
N06751,F03,R97
N06748,F03,R97
N06693,F03,R97
N06559,F03,R97
N06550,F03,R97
N06526,F03,R97
N06490,F03,R97
N06465,F03,R97
N06453,F03,R97
N06446,F03,R97
N06435,F03,R97
N06385,F03,R97
N06346,F03,R97
N06286,F03,R97
N06194,F03,R97
N06188,F03,R97
N06144,F03,R97
N06094,F03,R97
N06073,F03,R97
N06061,F03,R97
N05893,F03,R97
N05798,F03,R97
N05711,F03,R97
N05671,F03,R97
N05232,F03,R97
N05231,F03,R97
N05080,F03,R97
N05057,F03,R97
N04924,F03,R97
N04829,F03,R97
N04617,F03,R97
N04351,F03,R97
N04336,F03,R97
N04334,F03,R97
N04072,F03,R97
N04059,F03,R97
N04020,F03,R97
N03993,F03,R97
N03869,F03,R97
N03868,F03,R97
N03711,F03,R97
N03703,F03,R97
N03234,F03,R97
N03228,F03,R97
N03020,F03,R97
N02781,F03,R97
N02705,F03,R97
N02564,F03,R97
N00394,F03,R97
N00041,F03,R97
N07646,F03,R97
N07760,F03,R97
N07761,F03,R97
N07802,F03,R97
N07897,F03,R97
N07898,F03,R97
N07899,F03,R97
N07900,F03,R97
N07959,F03,R97
N08079,F03,R97
N08080,F03,R97
N08088,F03,R97
N08089,F03,R97
N08102,F03,R97
N04823,F03,R97
N06780,F03,R97
N08188,F03,R97
N08192,F03,R97
N08231,F03,R97
N08232,F03,R97
N08233,F03,R97
N08248 ,F03,R97
N07317,F03,RC5
N06600,F03,RC5
N06507,F03,RC5
N06461,F03,RC5
N06441,F03,RC5
N06271,F03,RC5
N06252,F03,RC5
N06086,F03,RC5
N06078,F03,RC5
N05964,F03,RC5
N05871,F03,RC5
N05866,F03,RC5
N05830,F03,RC5
N05827,F03,RC5
N05825,F03,RC5
N05824,F03,RC5
N05823,F03,RC5
N05822,F03,RC5
N05821,F03,RC5
N05820,F03,RC5
N05819,F03,RC5
N05818,F03,RC5
N07563,F03,RC5
N07544,F03,RC5
N07527,F03,RC5
N07526,F03,RC5
N07500,F03,RC5
N07483,F03,RC5
N07420,F03,RC5
N07414,F03,RC5
N07411,F03,RC5
N07312,F03,RC5
N07169,F03,RC5
N07151,F03,RC5
N07150,F03,RC5
N07082,F03,RC5
N07079,F03,RC5
N07075,F03,RC5
N07067,F03,RC5
N06998,F03,RC5
N06988,F03,RC5
N06987,F03,RC5
N06985,F03,RC5
N06983,F03,RC5
N06946,F03,RC5
N06852,F03,RC5
N06847,F03,RC5
N06806,F03,RC5
N06732,F03,RC5
N06704,F03,RC5
N06701,F03,RC5
N06670,F03,RC5
N06663,F03,RC5
N06662,F03,RC5
N06661,F03,RC5
N06660,F03,RC5
N06638,F03,RC5
N06635,F03,RC5
N06630,F03,RC5
N06623,F03,RC5
N06621,F03,RC5
N06614,F03,RC5
N06613,F03,RC5
N06569,F03,RC5
N06558,F03,RC5
N06469,F03,RC5
N06444,F03,RC5
N06427,F03,RC5
N06393,F03,RC5
N06292,F03,RC5
N06281,F03,RC5
N06239,F03,RC5
N06098,F03,RC5
N06097,F03,RC5
N06013,F03,RC5
N05939,F03,RC5
N05810,F03,RC5
N05766,F03,RC5
N05267,F03,RC5
N05205,F03,RC5
N05173,F03,RC5
N05164,F03,RC5
N05070,F03,RC5
N04040,F03,RC5
N03973,F03,RC5
N03911,F03,RC5
N03678,F03,RC5
N03669,F03,RC5
N03628,F03,RC5
N03467,F03,RC5
N03338,F03,RC5
N03094,F03,RC5
N02935,F03,RC5
N02803,F03,RC5
N02341,F03,RC5
N01203,F03,RC5
N01002,F03,RC5
N00990,F03,RC5
N00735,F03,RC5
N00659,F03,RC5
N00559,F03,RC5
N00468,F03,RC5
N00215,F03,RC5
N00148,F03,RC5
N07623,F03,RC5
N07625,F03,RC5
N07653,F03,RC5
N07654,F03,RC5
N07713,F03,RC5
N07790,F03,RC5
N07801,F03,RC5
N03877,F03,RC5
N07836,F03,RC5
N07850,F03,RC5
N07851,F03,RC5
N07936,F03,RC5
N07997,F03,RC5
N07998,F03,RC5
N08040,F03,RC5
N06626,F03,RC5
N08117,F03,RC5
N08118,F03,RC5
N08134,F03,RC5
N08158,F03,RC5
N08162,F03,RC5
N08339,F03,RC5
N08244,F03,RC5
N08245,F03,RC5
N07522,F03,Z11
N07503,F03,Z11
N07502,F03,Z11
N07281,F03,Z11
N07245,F03,Z11
N07191,F03,Z11
N07127,F03,Z11
N07118,F03,Z11
N07068,F03,Z11
N07064,F03,Z11
N07061,F03,Z11
N07036,F03,Z11
N06997,F03,Z11
N06995,F03,Z11
N06960,F03,Z11
N06958,F03,Z11
N06957,F03,Z11
N06922,F03,Z11
N06914,F03,Z11
N06908,F03,Z11
N06814,F03,Z11
N06813,F03,Z11
N06812,F03,Z11
N06811,F03,Z11
N06737,F03,Z11
N06724,F03,Z11
N06722,F03,Z11
N06720,F03,Z11
N06718,F03,Z11
N06717,F03,Z11
N06715,F03,Z11
N06673,F03,Z11
N06669,F03,Z11
N06667,F03,Z11
N06647,F03,Z11
N06646,F03,Z11
N06525,F03,Z11
N06519,F03,Z11
N06505,F03,Z11
N06494,F03,Z11
N06486,F03,Z11
N06458,F03,Z11
N06424,F03,Z11
N06402,F03,Z11
N06348,F03,Z11
N06238,F03,Z11
N06196,F03,Z11
N06165,F03,Z11
N05959,F03,Z11
N05949,F03,Z11
N05887,F03,Z11
N05864,F03,Z11
N05167,F03,Z11
N05126,F03,Z11
N05004,F03,Z11
N04055,F03,Z11
N03920,F03,Z11
N03901,F03,Z11
N03888,F03,Z11
N03210,F03,Z11
N03134,F03,Z11
N02930,F03,Z11
N02641,F03,Z11
N02395,F03,Z11
N01680,F03,Z11
N01249,F03,Z11
N00841,F03,Z11
N00750,F03,Z11
N00730,F03,Z11
N00578,F03,Z11
N07604,F03,Z11
N07549,F03,Z11
N07412,F03,Z11
N07348,F03,Z11
N07347,F03,Z11
N07346,F03,Z11
N07219,F03,Z11
N07152,F03,Z11
N07145,F03,Z11
N07060,F03,Z11
N06968,F03,Z11
N06967,F03,Z11
N06953,F03,Z11
N06909,F03,Z11
N06899,F03,Z11
N06898,F03,Z11
N06832,F03,Z11
N06829,F03,Z11
N06827,F03,Z11
N06742,F03,Z11
N06739,F03,Z11
N06738,F03,Z11
N06711,F03,Z11
N06396,F03,Z11
N06336,F03,Z11
N06298,F03,Z11
N06294,F03,Z11
N06266,F03,Z11
N06198,F03,Z11
N06186,F03,Z11
N06167,F03,Z11
N06075,F03,Z11
N06019,F03,Z11
N05953,F03,Z11
N05833,F03,Z11
N05132,F03,Z11
N05078,F03,Z11
N04799,F03,Z11
N04389,F03,Z11
N03681,F03,Z11
N03449,F03,Z11
N00606,F03,Z11
N07603,F03,Z11
N07519,F03,Z11
N07518,F03,Z11
N07499,F03,Z11
N07417,F03,Z11
N07162,F03,Z11
N07161,F03,Z11
N07160,F03,Z11
N07131,F03,Z11
N07071,F03,Z11
N07052,F03,Z11
N07044,F03,Z11
N07019,F03,Z11
N07018,F03,Z11
N07015,F03,Z11
N07011,F03,Z11
N07009,F03,Z11
N07007,F03,Z11
N07005,F03,Z11
N07003,F03,Z11
N07002,F03,Z11
N07001,F03,Z11
N06883,F03,Z11
N06880,F03,Z11
N06770,F03,Z11
N06769,F03,Z11
N06764,F03,Z11
N06763,F03,Z11
N06761,F03,Z11
N06696,F03,Z11
N06689,F03,Z11
N06686,F03,Z11
N06683,F03,Z11
N06682,F03,Z11
N06678,F03,Z11
N06676,F03,Z11
N06675,F03,Z11
N06587,F03,Z11
N06534,F03,Z11
N06380,F03,Z11
N06332,F03,Z11
N06082,F03,Z11
N05802,F03,Z11
N05775,F03,Z11
N05162,F03,Z11
N05093,F03,Z11
N04814,F03,Z11
N04803,F03,Z11
N04541,F03,Z11
N03935,F03,Z11
N03813,F03,Z11
N03684,F03,Z11
N02691,F03,Z11
N02657,F03,Z11
N02654,F03,Z11
N02473,F03,Z11
N00534,F03,Z11
N00529,F03,Z11
N00247,F03,Z11
N07607,F03,Z11
N07629,F03,Z11
N07641,F03,Z11
N07652,F03,Z11
N07667,F03,Z11
N07669,F03,Z11
N07670,F03,Z11
N07678,F03,Z11
N07683,F03,Z11
N07684,F03,Z11
N07685,F03,Z11
N07699,F03,Z11
N07860,F03,Z11
N07861,F03,Z11
N07862,F03,Z11
N07863,F03,Z11
N07864,F03,Z11
N07865,F03,Z11
N07866,F03,Z11
N07867,F03,Z11
N07868,F03,Z11
N07869,F03,Z11
N07870,F03,Z11
N07871,F03,Z11
N07883,F03,Z11
N07884,F03,Z11
N07885,F03,Z11
N07886,F03,Z11
N07887,F03,Z11
N07888,F03,Z11
N07889,F03,Z11
N07890,F03,Z11
N07891,F03,Z11
N07892,F03,Z11
N07893,F03,Z11
N07894,F03,Z11
N07895,F03,Z11
N07896,F03,Z11
N07902,F03,Z11
N07903,F03,Z11
N07904,F03,Z11
N07905,F03,Z11
N07906,F03,Z11
N07907,F03,Z11
N07908,F03,Z11
N07909,F03,Z11
N07910,F03,Z11
N07942,F03,Z11
N07945,F03,Z11
N07946,F03,Z11
N07947,F03,Z11
N07948,F03,Z11
N07949,F03,Z11
N07951,F03,Z11
N07952,F03,Z11
N07953,F03,Z11
N07954,F03,Z11
N07955,F03,Z11
N07956,F03,Z11
N07957,F03,Z11
N07958,F03,Z11
N07960,F03,Z11
N07961,F03,Z11
N07962,F03,Z11
N07963,F03,Z11
N07964,F03,Z11
N07965,F03,Z11
N07966,F03,Z11
N07967,F03,Z11
N07968,F03,Z11
N07969,F03,Z11
N07971,F03,Z11
N07972,F03,Z11
N07978,F03,Z11
N07989,F03,Z11
N08009,F03,Z11
N08010,F03,Z11
N08029,F03,Z11
N08041,F03,Z11
N08047,F03,Z11
N08051,F03,Z11
N08052,F03,Z11
N08053,F03,Z11
N08090,F03,Z11
N08164,F03,Z11
N08165,F03,Z11
N08166,F03,Z11
N08167,F03,Z11
N08246,F03,Z11
N06232,F03,Z11
N05907,F03,R97
N02920,F03,R97
N00268,F03,R97
N04255,F03,R97
N06285,F03,R97
N01166,F03,R97
N03152,F03,R97
N03153,F03,R97
N05010,F03,R97
N01926,F03,R97
N06141,F03,R97
N04740,F03,R97
N00059,F03,R97
N06735,F03,R97
N03143,F03,R97
N01928,F03,R97
N04236,F03,R97
N07174,F03,R97
N04191,F03,R97
N03405,F03,R97
N05983,F03,R97
N03604,F03,R97
N05922,F03,R97
N00547,F03,R97
N05114,F03,R97
N07336,F03,R97
N02724,F03,R97
N05966,F03,R97
N07069,F03,R97
N01175,F03,R97
N00325,F03,R97
N06404,F03,R97
N03438,F03,R97
N03034,F03,R97
N04391,F03,R97
N03687,F03,R97
N07117,F03,R97
N05794,F03,R97
N05869,F03,R97
N07109,F03,R97
N07710,F03,R97
N05723,F03,R97
N07766,F03,R97
N07770,F03,R97
N07775,F03,R97
N07778,F03,R97
N07792,F03,R97
N07793,F03,R97
N07794,F03,R97
N07797,F03,R97
N07816,F03,R97
N07829,F03,R97
N07988,F03,R97
N07993,F03,R97
N06629,F03,R97
N08008,F03,R97
N08035,F03,R97
N08036,F03,R97
N08037,F03,R97
N08078,F03,R97
N08091,F03,R97
N08097,F03,R97
N08353,F03,R97
N08250,F03,R97
N07837,F03,R97
N07762,F03,R97
N07777,F03,R97
N07796,F03,R97
N07800,F03,R97
N07830,F03,R97
N07832,F03,R97
N07839,F03,R97
N08185,F03,R97
N07940,F03,R97
N08005,F03,R97
N08006,F03,R97
N08059,F03,R97
N08060,F03,R97
N08087,F03,R97
N08135,F03,R97
N08136,F03,R97
N08154,F03,R97
N08157,F03,R97
N08159,F03,R97
N08189,F03,R97
N08190,F03,R97
N08203,F03,R97
N07744,F03,R97
N07764,F03,R97
N07765,F03,R97
N07767,F03,R97
N07769,F03,R97
N07828,F03,R97
N07872,F03,R97
N08002,F03,R97
N08004,F03,R97
N08058,F03,R97
N08086,F03,R97
N03036,F03,RC5
N02213,F03,RC5
N03137,F03,RC5
N03770,F03,RC5
N03174,F03,RC5
N03332,F03,RC5
N07938,F03,RC5
N00353,F03,RC5
N03353,F03,RC5
N00431,F03,RC5
N01144,F03,RC5
N05994,F03,RC5
N03297,F03,RC5
N02296,F03,RC5
N00381,F03,RC5
N02914,F03,RC5
N06734,F03,RC5
N06570,F03,RC5
N03027,F03,RC5
N03045,F03,RC5
N03692,F03,RC5
N01972,F03,RC5
N07326,F03,RC5
N07142,F03,RC5
N02377,F03,RC5
N07043,F03,RC5
N05957,F03,RC5
N01904,F03,RC5
N06419,F03,RC5
N00324,F03,RC5
N06524,F03,RC5
N06353,F03,RC5
N00434,F03,RC5
N04849,F03,RC5
N07175,F03,RC5
N06447,F03,RC5
N04158,F03,RC5
N07176,F03,RC5
N07143,F03,RC5
N00308,F03,RC5
N01907,F03,RC5
N07051,F03,RC5
N03331,F03,RC5
N06990,F03,RC5
N06100,F03,RC5
N02366,F03,RC5
N06092,F03,RC5
N06872,F03,RC5
N03138,F03,RC5
N03136,F03,RC5
N05870,F03,RC5
N07078,F03,RC5
N07311,F03,RC5
N07313,F03,RC5
N07121,F03,RC5
N07193,F03,RC5
N03429,F03,RC5
N06300,F03,RC5
N07645,F03,RC5
N07697,F03,RC5
N08187,F03,RC5
N07873,F03,RC5
N07874,F03,RC5
N07878,F03,RC5
N07879,F03,RC5
N07937,F03,RC5
N07939,F03,RC5
N07980,F03,RC5
N07981,F03,RC5
N07982,F03,RC5
N07983,F03,RC5
N07614,F03,RC5
N08007,F03,RC5
N08075,F03,RC5
N08082,F03,RC5
N08083,F03,RC5
N08084,F03,RC5
N08119,F03,RC5
N07510,F03,RC5
N08226,F03,RC5
N08227,F03,RC5
N08228,F03,RC5
N08342,F03,RC5
N08343,F03,RC5
N08344,F03,RC5
N08345,F03,RC5
N08347,F03,RC5
N08348,F03,RC5
N08349,F03,RC5
N08350,F03,RC5
N08351,F03,RC5
N08241,F03,RC5
N08242,F03,RC5
N08243,F03,RC5
N03108,F03,RC5
N01888,F03,RC5
N05758,F03,RC5
N06072,F03,Z11
N06470,F03,RC5
N03664,F03,RC5
N06096,F03,RC5
N07791,F03,Z11
N07987,F03,Z11
N08038,F03,Z11
N07838,F03,Z11
N07763,F03,Z11
N07776,F03,Z11
N07831,F03,Z11
N08186,F03,Z11
N08000,F03,Z11
N08001,F03,Z11
N08056,F03,Z11
N08061,F03,Z11
N08063,F03,Z11
N08112,F03,Z11
N08113,F03,Z11
N08155,F03,Z11
N08202,F03,Z11
N08204,F03,Z11
N06211,F03,Z11
N00122,F03,Z11
N02186,F03,Z11
N02869,F03,Z11
N07039,F03,Z11
N07077,F03,Z11
N03295,F03,Z11
N01247,F03,Z11
N05804,F03,Z11
N07224,F03,Z11
N06449,F03,Z11
N02029,F03,Z11
N06308,F03,Z11
N06931,F03,Z11
N05020,F03,Z11
N01927,F03,Z11
N07089,F03,Z11
N06017,F03,Z11
N06347,F03,Z11
N07358,F03,Z11
N06014,F03,Z11
N07091,F03,Z11
N06066,F03,Z11
N06553,F03,Z11
N07218,F03,Z11
N07141,F03,Z11
N04764,F03,Z11
N06533,F03,Z11
N07375,F03,Z11
N06573,F03,Z11
N07504,F03,Z11
N00825,F03,Z11
N04695,F03,Z11
N07095,F03,Z11
N05938,F03,Z11
N02401,F03,Z11
N06599,F03,Z11
N07154,F03,Z11
N00158,F03,Z11
N03220,F03,Z11
N07105,F03,Z11
N02915,F03,Z11
N00244,F03,Z11
N03400,F03,Z11
N01143,F03,Z11
N03293,F03,Z11
N03022,F03,Z11
N01959,F03,Z11
N06323,F03,Z11
N00025,F03,Z11
N07087,F03,Z11
N03109,F03,Z11
N03465,F03,Z11
N07301,F03,Z11
N05750,F03,Z11
N00417,F03,Z11
N03652,F03,Z11
N03752,F03,Z11
N00572,F03,Z11
N07356,F03,Z11
N07094,F03,Z11
N05106,F03,Z11
N06591,F03,Z11
N07173,F03,Z11
N07190,F03,Z11
N03944,F03,Z11
N07189,F03,Z11
N07419,F03,Z11
N07432,F03,Z11
N07520,F03,Z11
N07651,F03,Z11
N07698,F03,Z11
N07743,F03,Z11
N07768,F03,Z11
N07779,F03,Z11
N07795,F03,Z11
N07814,F03,Z11
N07815,F03,Z11
N07824,F03,Z11
N07825,F03,Z11
N07882,F03,Z11
N07911,F03,Z11
N07912,F03,Z11
N07973,F03,Z11
N07977,F03,Z11
N07986,F03,Z11
N07970,F03,Z11
N08003,F03,Z11
N08026,F03,Z11
N08039,F03,Z11
N08048,F03,Z11
N08050,F03,Z11
N04776,F03,Z11
N08054,F03,Z11
N08055,F03,Z11
N08057,F03,Z11
N08077,F03,Z11
N08096,F03,Z11
N08195,F03,Z11
N08230,F03,Z11
N08341,F03,Z11
N08239,F03,Z11
N08247,F03,Z11
