CUST,PRNCPL,SLSMN
S10721,F03,R24
S09033,F03,R40
S02987,F03,Z14
S10828,F03,R24
S04117,F03,R36
S02589,F03,R24
S10334,F03,R24
S07821,F03,R36
S11451,F03,R24
S11012,F03,R24
S11673,F03,R40
S10458,F03,R23
S07592,F03,R36
S10835,F03,R29
S05553,F03,R36
S11206,F03,R29
S06298,F03,R23
S00320,F03,Z14
S02713,F03,R29
S09700,F03,R24
S00727,F03,Z14
S02865,F03,R23
S03702,F03,R40
S02802,F03,Z14
S11116,F03,R36
S11088,F03,R29
S10444,F03,R24
S00752,F03,Z14
S02413,F03,R36
S10407,F03,R24
S09549,F03,R23
S07072,F03,R29
S09843,F03,Z14
S01197,F03,R24
S09500,F03,R29
S10985,F03,R23
S08159,F03,R29
S10997,F03,R36
S03076,F03,R24
S09962,F03,R24
S05641,F03,Z14
S08183,F03,R29
S01806,F03,R36
S07368,F03,Z14
S07123,F03,Z14
S11150,F03,R24
S07144,F03,R23
S01408,F03,R23
S05285,F03,R36
S08901,F03,R40
S03658,F03,R40
S00718,F03,Z14
S01136,F03,R24
S03017,F03,R29
S09577,F03,R36
S10234,F03,R23
S10710,F03,R40
S06444,F03,R24
S08049,F03,R23
S07115,F03,R36
S10665,F03,R40
S06175,F03,R24
S10528,F03,R29
S11453,F03,Z14
S04727,F03,R24
S02519,F03,R40
S06891,F03,R40
S11293,F03,R40
S06017,F03,R36
S03096,F03,R23
S10933,F03,R23
S10485,F03,Z14
S11381,F03,R23
S04050,F03,Z14
S11341,F03,R23
S11873,F03,R24
S07815,F03,R24
S10785,F03,R24
S07951,F03,R36
S05927,F03,Z14
S11073,F03,Z14
S06547,F03,R36
S07814,F03,Z14
S09063,F03,R29
S05257,F03,R24
S07133,F03,R24
S08013,F03,R29
S10409,F03,R29
S10002,F03,R36
S07101,F03,R36
S05422,F03,R36
S00936,F03,R29
S09338,F03,R36
S10039,F03,R29
S09635,F03,R40
S04507,F03,R36
S11699,F03,R29
S10195,F03,R36
S11950,F03,Z14
S10099,F03,R23
S09363,F03,R40
S01976,F03,R29
S10498,F03,R23
S00301,F03,R24
S11382,F03,R23
S07965,F03,R24
S06616,F03,R23
S00944,F03,R29
S11315,F03,Z14
S09981,F03,R29
S09965,F03,R36
S09736,F03,R29
S11228,F03,Z14
S09926,F03,R36
S11148,F03,Z14
S01277,F03,R40
S11118,F03,R40
S09735,F03,R40
S06273,F03,Z14
S10411,F03,R24
S10053,F03,R40
S00924,F03,Z14
S06653,F03,R23
S07015,F03,R36
S11362,F03,R24
S06663,F03,R40
S11430,F03,R23
S01725,F03,R40
S09551,F03,R40
S11585,F03,R24
S10529,F03,Z14
S10178,F03,R40
S10160,F03,R36
S10768,F03,R29
S08674,F03,Z14
S04224,F03,R29
S06387,F03,R40
S09322,F03,R40
S01763,F03,R23
S10875,F03,R23
S03778,F03,R36
S01354,F03,R40
S09786,F03,R40
S02159,F03,R29
S10045,F03,R23
S10663,F03,R36
S10709,F03,R23
S09812,F03,R23
S08532,F03,R24
S04716,F03,Z14
S09568,F03,R24
S02892,F03,R29
S11798,F03,R24
S11368,F03,R40
S10760,F03,R40
S05404,F03,R24
S01609,F03,R36
S07140,F03,R36
S10197,F03,Z14
S06536,F03,R29
S02302,F03,R24
S07925,F03,R29
S10780,F03,R40
S10593,F03,R36
S01077,F03,R23
S11910,F03,R40
S03798,F03,R40
S00410,F03,R23
S11281,F03,R23
S11517,F03,R29
S09508,F03,Z14
S10813,F03,R24
S11272,F03,R40
S11285,F03,R36
S10873,F03,R23
S09785,F03,R40
S07863,F03,Z14
S10174,F03,R40
S10981,F03,R29
S11373,F03,R29
S06565,F03,R36
S11744,F03,R24
S09780,F03,R40
S09484,F03,Z14
S10829,F03,R36
S07413,F03,R23
S11078,F03,R29
S06660,F03,R24
S10806,F03,R36
S03797,F03,R40
S09537,F03,Z14
S07032,F03,R40
S09533,F03,Z14
S07543,F03,R23
S10603,F03,R36
S02282,F03,R23
S10891,F03,R24
S09945,F03,R24
S11067,F03,Z14
S02394,F03,Z14
S10763,F03,R36
S09917,F03,R29
S10494,F03,R36
S09552,F03,R40
S08004,F03,R29
S09337,F03,R40
S10686,F03,R36
S01681,F03,R23
S10487,F03,R36
S02704,F03,Z14
S09936,F03,R36
